,Open,High,Low,Close,Volume
2025-01-29,126.48836708502724,126.87833061040895,120.03896327722832,123.6886215209961,467120600.0
2025-01-30,123.08867408422283,124.9885008224628,118.08913405132431,124.63853454589844,392925500.0
2025-01-31,123.76861793270326,127.83824341487099,119.1790436181177,120.0589599609375,390372900.0
2025-02-03,114.7394486968032,118.55909714130068,112.99961082645434,116.64927673339844,371235700.0
2025-02-04,116.94924444838958,121.1888524384042,116.68926621972048,118.63909149169922,256550000.0
2025-02-05,121.74880228526035,124.98850212428793,120.74889426826606,124.81851959228516,262230800.0
2025-02-06,127.40827329026631,128.7581551695,125.19847756454047,128.66815185546875,251483600.0
2025-02-07,129.20811063964976,130.35799871586244,124.9884977355082,129.8280487060547,228186300.0
2025-02-10,130.0780330404282,134.98758517024453,129.94805537047182,133.55772399902344,216989100.0
2025-02-11,132.56781502240796,134.4676342706669,131.0079608594355,132.7877960205078,178902400.0
2025-02-12,130.00805277951918,132.22784993678553,129.0681367435288,131.12794494628906,160278600.0
2025-02-13,131.54790450828392,136.487452862588,131.15794096754342,135.27755737304688,197430000.0
2025-02-14,136.46744211776974,139.23719160158925,135.4875365315285,138.8372344970703,195479600.0
2025-02-17,136.46744211776974,139.23719160158925,135.4875365315285,138.8372344970703,195479600.0
2025-02-18,141.25701494818574,143.4268135927519,137.91731045487123,139.38717651367188,219176600.0
2025-02-19,139.49716663707372,141.34700263351252,137.2073839146051,139.21719360351562,167536000.0
2025-02-20,140.01712771481476,140.6470746897965,136.7774200315485,140.0971221923828,143903600.0
2025-02-21,140.02711787829398,141.4470007486669,134.01767593596887,134.41763305664062,228217600.0
2025-02-24,136.5474420161462,138.57725415414035,130.06804206967678,130.2680206298828,251381100.0
2025-02-25,129.96804527013506,130.18802626376245,124.42856133510212,126.61835479736328,271428700.0
2025-02-26,129.97805439122038,133.71770077604796,128.478192299153,131.26792907714844,322553800.0
2025-02-27,134.9875872324259,134.99758082030266,119.99896764539281,120.13895416259766,443175800.0
2025-02-28,118.00914142194866,125.07849083366686,116.38929530836823,124.90850830078125,389091100.0
2025-03-03,123.49864257535764,123.68861991301428,112.26967207329028,114.04950714111328,411381400.0
2025-03-04,110.63982667322061,119.29902637351395,110.09987541363249,115.97933197021484,398163300.0
2025-03-05,117.56918811598004,118.26912068620358,114.49947076595478,117.28921508789062,284337900.0
2025-03-06,113.51955654224739,115.3393888375433,110.209863429875,110.55982971191406,321181900.0
2025-03-07,111.2397716760376,113.46957000648335,107.5501084934214,112.67964172363281,341755500.0
2025-03-10,109.88989097369002,111.83970852661247,105.45029700249104,106.97016143798828,366487400.0
2025-03-11,106.98015850635034,112.22967568900775,104.76036144852146,108.75,354865700.0
2025-03-12,114.12000274658203,116.76000213623047,112.87999725341797,115.73999786376953,323857500.0
2025-03-13,117.02999877929688,117.76000213623047,113.79000091552734,115.58000183105469,299033100.0
2025-03-14,118.61000061035156,121.87999725341797,118.1500015258789,121.66999816894531,277593500.0
2025-03-17,122.73999786376953,122.88999938964844,118.02999877929688,119.52999877929688,255501500.0
2025-03-18,118.0,119.0199966430664,114.54000091552734,115.43000030517578,299686900.0
2025-03-19,117.2699966430664,120.44999694824219,115.68000030517578,117.5199966430664,273426200.0
2025-03-20,116.55000305175781,120.19999694824219,116.47000122070312,118.52999877929688,248829700.0
2025-03-21,116.94000244140625,117.98999786376953,115.41999816894531,117.69999694824219,266498500.0
2025-03-24,119.87999725341797,122.22000122070312,119.33999633789062,121.41000366210938,228452500.0
2025-03-25,120.55000305175781,121.29000091552734,118.91999816894531,120.69000244140625,167447200.0
2025-03-26,118.7300033569336,118.83999633789062,112.70999908447266,113.76000213623047,293463300.0
2025-03-27,111.3499984741211,114.44999694824219,110.66000366210938,111.43000030517578,236902100.0
2025-03-28,111.48999786376953,112.87000274658203,109.06999969482422,109.66999816894531,229872500.0
2025-03-31,105.12999725341797,110.95999908447266,103.6500015258789,108.37999725341797,299212700.0
2025-04-01,108.5199966430664,110.19999694824219,106.47000122070312,110.1500015258789,222614000.0
